movie_id,actor_id,actor_name,is_director,title,return
282035,500.0,Tom Cruise,False,The Mummy,3.262224104
413782,6384.0,Keanu Reeves,True,Mifune: The Last Samurai,0.0
40761,190.0,Clint Eastwood,True,Revenge of the Creature,0.0
38966,6384.0,Keanu Reeves,True,The Night Before,0.0
14543,6384.0,Keanu Reeves,True,The Matrix Revisited,0.0
10917,287.0,Brad Pitt,False,Too Young to Die?,0.0
18221,500.0,Tom Cruise,False,Space Station 3D,0.0
24914,6384.0,Keanu Reeves,True,Kid's Story,0.0
316154,6384.0,Keanu Reeves,True,The Bad Batch,0.0
396398,7056.0,Emma Thompson,False,The Meyerowitz Stories,0.0
354287,287.0,Brad Pitt,False,War Machine,0.0
411012,5292.0,Denzel Washington,True,Chasing Trane,0.0
449758,5064.0,Meryl Streep,False,Five Came Back,0.0
58462,18277.0,Sandra Bullock,False,Loverboy,0.0
245394,7056.0,Emma Thompson,False,Fry and Laurie Reunited,0.0
