movie_id,director_id,director_name,title,release_date,budget,revenue,return
116,1243,Woody Allen,Match Point,2005-10-26,15000000.0,85306374.0,5.6870916
612,488,Steven Spielberg,Munich,2005-12-22,70000000.0,130358911.0,1.862270157142857
55676,1032,Martin Scorsese,A Personal Journey with Martin Scorsese Through American Movies,1995-05-21,0.0,0.0,0.0
1887,1769,Sofia Coppola,Marie Antoinette,2006-05-24,40000000.0,60474340.0,1.5118585
512,1243,Woody Allen,Scoop,2006-07-27,4000000.0,31584901.0,7.89622525
1422,1032,Martin Scorsese,The Departed,2006-10-05,90000000.0,289847354.0,3.2205261555555555
3683,190,Clint Eastwood,Flags of Our Fathers,2006-10-18,90000000.0,65900249.0,0.7322249888888889
10462,1243,Woody Allen,Don't Drink the Water,1994-12-18,0.0,0.0,0.0
1251,190,Clint Eastwood,Letters from Iwo Jima,2006-12-19,19000000.0,68673228.0,3.614380421052632
2266,1223,Joel Coen,"Paris, je t'aime",2006-05-16,13000000.0,4857367.0,0.3736436153846154
1991,138,Quentin Tarantino,Death Proof,2007-05-21,25000000.0,25037897.0,1.00151588
4538,5655,Wes Anderson,The Darjeeling Limited,2007-09-29,16000000.0,24377151.0,1.5235719375
6977,1223,Joel Coen,No Country for Old Men,2007-11-08,25000000.0,171600000.0,6.864
4787,1243,Woody Allen,Cassandra's Dream,2007-06-18,0.0,0.0,0.0
7797,1776,Francis Ford Coppola,Youth Without Youth,2007-10-26,0.0,0.0,0.0
7944,1032,Martin Scorsese,Shine a Light,2008-02-07,0.0,0.0,0.0
217,488,Steven Spielberg,Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21,185000000.0,786636033.0,4.252086664864865
5038,1243,Woody Allen,Vicky Cristina Barcelona,2008-08-15,15000000.0,96408652.0,6.427243466666667
4944,1223,Joel Coen,Burn After Reading,2008-09-05,37000000.0,163720069.0,4.42486672972973
3580,190,Clint Eastwood,Changeling,2008-01-30,55000000.0,113020255.0,2.054913727272728
13223,190,Clint Eastwood,Gran Torino,2008-12-09,33000000.0,269958228.0,8.180552363636364
16869,138,Quentin Tarantino,Inglourious Basterds,2009-08-18,70000000.0,319131050.0,4.559015
19265,1243,Woody Allen,Whatever Works,2009-06-19,15000000.0,35097815.0,2.3398543333333333
11928,1776,Francis Ford Coppola,Tetro,2009-06-11,15000000.0,113221.0,0.0075480666666666
36108,1223,Joel Coen,To Each His Own Cinema,2007-05-19,0.0,0.0,0.0
12573,1223,Joel Coen,A Serious Man,2009-10-02,7000000.0,31430334.0,4.490047714285715
12572,524,Natalie Portman,"New York, I Love You",2008-09-06,14700000.0,8049666.0,0.5475963265306123
10315,5655,Wes Anderson,Fantastic Mr. Fox,2009-10-23,40000000.0,46471023.0,1.161775575
22954,190,Clint Eastwood,Invictus,2009-12-10,60000000.0,122233971.0,2.03723285
19995,2710,James Cameron,Avatar,2009-12-10,237000000.0,2787965087.0,11.763565767932487
11324,1032,Martin Scorsese,Shutter Island,2010-02-18,80000000.0,294804195.0,3.6850524375
59231,1776,Francis Ford Coppola,The Rain People,1969-08-27,0.0,0.0,0.0
10165,240,Stanley Kubrick,Fear and Desire,1953-04-01,53000.0,0.0,0.0
38031,1243,Woody Allen,You Will Meet a Tall Dark Stranger,2010-05-23,22000000.0,0.0,0.0
44603,190,Clint Eastwood,Hereafter,2010-10-15,50000000.0,105197635.0,2.1039527
39210,1769,Sofia Coppola,Somewhere,2010-09-03,8000000.0,0.0,0.0
44264,1223,Joel Coen,True Grit,2010-12-22,38000000.0,252276927.0,6.6388665
48204,45400,Greta Gerwig,Nights and Weekends,2008-01-01,0.0,0.0,0.0
91459,1032,Martin Scorsese,Italianamerican,1974-01-01,0.0,0.0,0.0
54793,1032,Martin Scorsese,Public Speaking,2010-11-22,0.0,0.0,0.0
50780,1038,Jodie Foster,The Beaver,2011-02-11,21000000.0,970816.0,0.0462293333333333
59436,1243,Woody Allen,Midnight in Paris,2011-05-11,30000000.0,151119219.0,5.0373073
65673,1032,Martin Scorsese,A Letter to Elia,2010-09-04,0.0,0.0,0.0
78381,1776,Francis Ford Coppola,Twixt,2011-09-10,7000000.0,0.0,0.0
33470,1032,Martin Scorsese,American Boy: A Profile of: Steven Prince,1978-09-16,155000.0,0.0,0.0
421510,1032,Martin Scorsese,Street Scenes,1970-09-14,0.0,0.0,0.0
88794,190,Clint Eastwood,J. Edgar,2011-11-09,35000000.0,84606030.0,2.417315142857143
17578,488,Steven Spielberg,The Adventures of Tintin,2011-10-25,130000000.0,371940071.0,2.861077469230769
75964,1032,Martin Scorsese,George Harrison: Living in the Material World,2011-10-05,0.0,0.0,0.0
44826,1032,Martin Scorsese,Hugo,2011-11-22,170000000.0,185770160.0,1.0927656470588236
57212,488,Steven Spielberg,War Horse,2011-12-25,66000000.0,177584879.0,2.690679984848485
83666,5655,Wes Anderson,Moonrise Kingdom,2012-05-16,16000000.0,68263166.0,4.266447875
81836,1243,Woody Allen,To Rome with Love,2012-04-20,17000000.0,73244881.0,4.308522411764706
72976,488,Steven Spielberg,Lincoln,2012-11-09,65000000.0,275293450.0,4.235283846153847
45314,240,Stanley Kubrick,The Seafarers,1953-10-15,0.0,0.0,0.0
68718,138,Quentin Tarantino,Django Unchained,2012-12-25,100000000.0,425368238.0,4.25368238
96936,1769,Sofia Coppola,The Bling Ring,2013-06-12,15000000.0,19145732.0,1.2763821333333334
160588,1243,Woody Allen,Blue Jasmine,2013-07-25,18000000.0,99206215.0,5.511456388888889
86829,1223,Joel Coen,Inside Llewyn Davis,2013-10-06,11000000.0,32935319.0,2.994119909090909
106646,1032,Martin Scorsese,The Wolf of Wall Street,2013-12-25,100000000.0,392000694.0,3.92000694
6418,5655,Wes Anderson,Hotel Chevalier,2007-09-03,0.0,0.0,0.0
120467,5655,Wes Anderson,The Grand Budapest Hotel,2014-02-26,30000000.0,174600318.0,5.8200106
19492,1776,Francis Ford Coppola,Captain EO,1986-01-01,0.0,0.0,0.0
391069,488,Steven Spielberg,Night Gallery,1969-04-03,0.0,0.0,0.0
209451,190,Clint Eastwood,Jersey Boys,2014-06-05,40000000.0,67347013.0,1.683675325
229297,1243,Woody Allen,Magic in the Moonlight,2014-07-25,16800000.0,51029361.0,3.0374619642857144
190859,190,Clint Eastwood,American Sniper,2014-12-11,58800000.0,542307423.0,9.222915357142858
48714,1032,Martin Scorsese,The Big Shave,1968-01-01,0.0,0.0,0.0
48717,1032,Martin Scorsese,What's a Nice Girl Like You Doing in a Place Like This?,1963-01-01,0.0,0.0,0.0
76600,2710,James Cameron,Avatar 2,2020-12-16,0.0,0.0,0.0
273248,138,Quentin Tarantino,The Hateful Eight,2015-12-25,44000000.0,155760117.0,3.5400026590909093
228203,15287,Niki Caro,"McFarland, USA",2015-02-20,0.0,45710059.0,0.0
92657,1769,Sofia Coppola,Lick the Star,1998-10-01,0.0,0.0,0.0
191476,15287,Niki Caro,42 One Dream Rush,2010-09-15,1000000.0,0.0,0.0
282984,1243,Woody Allen,Irrational Man,2015-07-17,11000000.0,27391084.0,2.4900985454545457
